anio_academico;anio_ingreso_propuesta;facultad;propuesta_formativa;titulo_araucano_nivel;titulo;alumnos;anios_de_permanencia;cohorte_toty1;cohorte_nd;cohorte_nmy2;cohorte_tot_y2
2001;1977;Facultad de Ciencias Económicas;Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-;FINAL;Profesor De Enseñanza Media Y Superior En Ciencias Económicas;1;24;;;;
2001;1981;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;2;20;;;;
2001;1981;Facultad de Ciencias Económicas;Contador Público;INTERMEDIO;Bachiller Universitario En Ciencias Sociales;1;20;;;;
2001;1983;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;3;18;;;;
2001;1983;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;1;18;;;;
2001;1984;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;3;17;;;;
2001;1984;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;1;17;;;;
2001;1985;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;3;16;;;;
2001;1985;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;2;16;;;;
2001;1986;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;1;15;;;;
2001;1987;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;5;14;;;;
2001;1987;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;2;14;;;;
2001;1988;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;2;13;;;;
2001;1989;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;8;12;;;;
2001;1989;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;1;12;;;;
2001;1990;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;13;11;;;;
2001;1990;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;1;11;;;;
2001;1991;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;15;10;;;;
2001;1991;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;7;10;;;;
2001;1991;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;1;10;;;;
2001;1992;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;42;9;;;;
2001;1992;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;6;9;;;;
2001;1993;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;78;8;;;;
2001;1993;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;13;8;;;;
2001;1993;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;1;8;;;;
2001;1994;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;119;7;;;;
2001;1994;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;15;7;;;;
2001;1994;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;2;7;;;;
2001;1995;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;143;6;;;;
2001;1995;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;26;6;;;;
2001;1995;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;6;6;;;;
2001;1996;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;133;5;;;;
2001;1996;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;18;5;;;;
2001;1996;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;17;5;;;;
2001;1997;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;12;4;;;;
2001;1997;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;6;4;;;;
