year;province;pbg_manufactura;pbg_total_pm;pbg_total_pp;ic;ic_on;ic_op;ic_tributarios;ic_tributarios_op;ic_tributarios_op_iibb;ic_tributarios_op_inmob;ic_tributarios_op_sellos;ic_tributarios_op_autom;ic_tributarios_op_otros;ic_tributarios_on;ic_transferencias;ic_otros;ik;ik_op;ik_on;ik_dif;i_on;it;gc;gc_consumo;gc_consumo_personal;gc_rentas;gc_transferencias;gc_transferencias_sprivado;gc_transferencias_spublico;gc_transferencias_sexterno;gk;gk_ird;gk_transferencias;gk_transferencias_sprivado;gk_transferencias_spublico;gk_transferencias_sexterno;gk_if;gt;personal (planta ocupada);salario_promedio (gasto medio);population;apn_gconsumo;apn_grentasprop;apn_prestss;apn_impdir;apn_transf;apn_corrientes (confirmar si es el total);apn_IRD;apn_transfK;apn_invfciera;apn_capital (confirmar si es el total);gn_admgub;gn_defensa;gn_servsoc;gn_servecon;gn_deuda;gn_total
1991;Buenos Aires;;;;;;;;;769,00;412,00;209,00;235,00;25,00;;;;;;;;;;;;;;;;;;;;;;;;;;282680;6019309,68;12736080;;;;;;;;;;;;;;;;
1991;CABA;;;;;;;;;743,68;321,95;0,00;161,93;8,84;;;;;;;;;;;;;;;;;;;;;;;;;;88567;6955807,68;3009198;;;;;;;;;;;;;;;;
1991;Catamarca;;;;;;;;;6,46;1,72;1,54;1,17;0,21;;;;;;;;;;;;;;;;;;;;;;;;;;22480;3808746,24;266500;;;;;;;;;;;;;;;;
1991;Chaco;;;;;;;;;30,16;1,39;4,83;0,00;8,89;;;;;;;;;;;;;;;;;;;;;;;;;;35596;5743720,12;847880;;;;;;;;;;;;;;;;
1991;Chubut;;;;;;;;;28,02;0,09;8,17;0,00;1,89;;;;;;;;;;;;;;;;;;;;;;;;;;18338;6680113,59;359800;;;;;;;;;;;;;;;;
1991;Cordoba;;;;;;;;;211,34;116,40;46,25;0,00;3,70;;;;;;;;;;;;;;;;;;;;;;;;;;79923;6508283,45;2798529;;;;;;;;;;;;;;;;
1991;Corrientes;;;;;;;;;23,41;6,96;6,05;0,00;3,58;;;;;;;;;;;;;;;;;;;;;;;;;;39354;4375770,44;804347;;;;;;;;;;;;;;;;
1991;Entre Rios;;;;;;;;;39,46;27,77;19,04;15,68;1,99;;;;;;;;;;;;;;;;;;;;;;;;;;43247;5192495,34;1031896;;;;;;;;;;;;;;;;
1991;Formosa;;;;;;;;;12,31;1,36;2,81;0,08;0,64;;;;;;;;;;;;;;;;;;;;;;;;;;30699;6767714,25;401846;;;;;;;;;;;;;;;;
1991;Jujuy;;;;;;;;;19,97;5,67;3,45;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;27489;5881542,83;516663;;;;;;;;;;;;;;;;
1991;La Pampa;;;;;;;;;21,78;13,24;10,12;6,85;0,53;;;;;;;;;;;;;;;;;;;;;;;;;;14184;5476783,16;262366;;;;;;;;;;;;;;;;
1991;La Rioja;;;;;;;;;6,71;0,91;1,65;0,44;0,48;;;;;;;;;;;;;;;;;;;;;;;;;;21122;6831051,11;222484;;;;;;;;;;;;;;;;
