categoria;nombre_categoria;agrupacion;nombre_agrupacion;lista;nombre_lista
000100000000000;Presidente y Vicepresidente de la República;131;FRENTE NOS;000100000000000.131.A.000100000000000.131;Juan Gómez - Cynthia Hotton
000100000000000;Presidente y Vicepresidente de la República;133;FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;000100000000000.133.A.000100000000000.133;Nicolás Del Caño - Romina Del Plá
000100000000000;Presidente y Vicepresidente de la República;135;JUNTOS POR EL CAMBIO;000100000000000.135.A.000100000000000.135;Mauricio Macri - Miguel Pichetto
000100000000000;Presidente y Vicepresidente de la República;136;FRENTE DE TODOS;000100000000000.136.A.000100000000000.136;Alberto Fernández - Cristina Fernández
000100000000000;Presidente y Vicepresidente de la República;137;CONSENSO FEDERAL;000100000000000.137.A.000100000000000.137;Roberto Lavagna - Juan Urtubey
000100000000000;Presidente y Vicepresidente de la República;87;UNITE POR LA LIBERTAD Y LA DIGNIDAD;000100000000000.87.A.000100000000000.87;José Espert - Luis Rosales
000201000000000;Senadores Nacionales Ciudad Autónoma de Buenos Aires;01-501;FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;000201000000000.01-501.A.000201000000000.01-501;Jorge Daniel Adaro
000201000000000;Senadores Nacionales Ciudad Autónoma de Buenos Aires;01-502;FRENTE DE TODOS;000201000000000.01-502.A.000201000000000.01-502;Mariano Recalde
000201000000000;Senadores Nacionales Ciudad Autónoma de Buenos Aires;01-503;JUNTOS POR EL CAMBIO;000201000000000.01-503.A.000201000000000.01-503;Martin Lousteau
000201000000000;Senadores Nacionales Ciudad Autónoma de Buenos Aires;01-504;CONSENSO FEDERAL;000201000000000.01-504.A.000201000000000.01-504;Ramiro Daniel Marra
000201000000000;Senadores Nacionales Ciudad Autónoma de Buenos Aires;87;UNITE POR LA LIBERTAD Y LA DIGNIDAD;000201000000000.87.A.000201000000000.87;Raul Oscar Racana
000206000000000;Senadores Nacionales Chaco;06-156;ACCIÓN CHAQUEÑA;000206000000000.06-156.A.000206000000000.06-156;Adela De Los Angeles Acosta
000206000000000;Senadores Nacionales Chaco;06-501;FRENTE DE TODOS;000206000000000.06-501.A.000206000000000.06-501;Jorge Milton Capitanich
000206000000000;Senadores Nacionales Chaco;06-503;JUNTOS POR EL CAMBIO;000206000000000.06-503.A.000206000000000.06-503;Victor Zimmermann
000206000000000;Senadores Nacionales Chaco;06-504;CONSENSO FEDERAL;000206000000000.06-504.A.000206000000000.06-504;Jose Enrique Dib
000208000000000;Senadores Nacionales Entre Ríos;08-501;FRENTE DE TODOS;000208000000000.08-501.A.000208000000000.08-501;Edgardo Dario Kueider
000208000000000;Senadores Nacionales Entre Ríos;08-502;JUNTOS POR EL CAMBIO;000208000000000.08-502.A.000208000000000.08-502;Alfredo Luis De Angeli
000208000000000;Senadores Nacionales Entre Ríos;50;PARTIDO SOCIALISTA;000208000000000.50.A.000208000000000.50;Lisandro Luis Gamarra
000208000000000;Senadores Nacionales Entre Ríos;68;NUEVA IZQUIERDA;000208000000000.68.A.000208000000000.68;Luis Guillermo Meiners
000215000000000;Senadores Nacionales Neuquén;15-151;MOVIMIENTO POPULAR NEUQUINO;000215000000000.15-151.A.000215000000000.15-151;Guillermo Juan Pereyra
000215000000000;Senadores Nacionales Neuquén;15-501;JUNTOS POR EL CAMBIO;000215000000000.15-501.A.000215000000000.15-501;Horacio Rodolfo Quiroga
000215000000000;Senadores Nacionales Neuquén;15-502;FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;000215000000000.15-502.A.000215000000000.15-502;Norberto Eduardo Calducci
000215000000000;Senadores Nacionales Neuquén;15-503;FRENTE DE TODOS;000215000000000.15-503.A.000215000000000.15-503;Oscar Isidro Jose Parrilli
000215000000000;Senadores Nacionales Neuquén;15-504;CONSENSO FEDERAL;000215000000000.15-504.A.000215000000000.15-504;Gabriel Luis Romero
000216000000000;Senadores Nacionales Río Negro;16-169;JUNTOS SOMOS RIO NEGRO;000216000000000.16-169.A.000216000000000.16-169;Alberto Edgardo Weretilneck
000216000000000;Senadores Nacionales Río Negro;16-502;FRENTE DE TODOS;000216000000000.16-502.A.000216000000000.16-502;Claudio Martin Doñate
000216000000000;Senadores Nacionales Río Negro;16-503;FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;000216000000000.16-503.A.000216000000000.16-503;Gabriel Adrian Musa
000217000000000;Senadores Nacionales Salta;17-501;FRENTE DE TODOS;000217000000000.17-501.A.000217000000000.17-501;Sergio Napoleon Leavy
000217000000000;Senadores Nacionales Salta;17-502;UNIÓN POR SALTA;000217000000000.17-502.A.000217000000000.17-502;Guillermo Marcelo Lara Gros
000217000000000;Senadores Nacionales Salta;17-503;JUNTOS POR EL CAMBIO;000217000000000.17-503.A.000217000000000.17-503;Juan Carlos Romero
000217000000000;Senadores Nacionales Salta;17-504;FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;000217000000000.17-504.A.000217000000000.17-504;Violeta Gil
000217000000000;Senadores Nacionales Salta;19;PARTIDO CONSERVADOR POPULAR;000217000000000.19.A.000217000000000.19;Rafael Angel Cornejo Sola
000222000000000;Senadores Nacionales Santiago del Estero;22-501;FRENTE CIVICO POR SANTIAGO;000222000000000.22-501.A.000222000000000.22-501;Claudia Alejandra Ledesma
000222000000000;Senadores Nacionales Santiago del Estero;22-502;FRENTE DE TODOS;000222000000000.22-502.A.000222000000000.22-502;Gerardo Antenor Montenegro
000222000000000;Senadores Nacionales Santiago del Estero;22-503;JUNTOS POR EL CAMBIO;000222000000000.22-503.A.000222000000000.22-503;Luciana Patricia Rached
000222000000000;Senadores Nacionales Santiago del Estero;40;MOVIMIENTO LIBRES DEL SUR;000222000000000.40.A.000222000000000.40;Paola Anabel Griggio
000224000000000;Senadores Nacionales Tierra del Fuego;24-187;PARTIDO SOCIAL PATAGONICO;000224000000000.24-187.A.000224000000000.24-187;Maria Fabiana Rios
000224000000000;Senadores Nacionales Tierra del Fuego;24-203;PARTIDO OBRERO;000224000000000.24-203.A.000224000000000.24-203;Daniel Patricio Barria Carabajal
000224000000000;Senadores Nacionales Tierra del Fuego;24-501;FRENTE DE TODOS;000224000000000.24-501.A.000224000000000.24-501;Matias David Rodriguez
000224000000000;Senadores Nacionales Tierra del Fuego;24-502;JUNTOS POR EL CAMBIO TIERRA DEL FUEGO;000224000000000.24-502.A.000224000000000.24-502;Pablo Daniel Blanco
000224000000000;Senadores Nacionales Tierra del Fuego;24-503;VAMOS TODOS A VIVIR MEJOR;000224000000000.24-503.A.000224000000000.24-503;Federico Armando Runin
000224000000000;Senadores Nacionales Tierra del Fuego;69;GEN;000224000000000.69.A.000224000000000.69;Juan Carlos Arcando
000301000000000;Diputados Nacionales Ciudad Autónoma de Buenos Aires;01-187;AUTODETERMINACION Y LIBERTAD;000301000000000.01-187.A.000301000000000.01-187;Luis Fernando Zamora
000301000000000;Diputados Nacionales Ciudad Autónoma de Buenos Aires;01-501;FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;000301000000000.01-501.A.000301000000000.01-501;Myriam Teresa Bregman
000301000000000;Diputados Nacionales Ciudad Autónoma de Buenos Aires;01-502;FRENTE DE TODOS;000301000000000.01-502.A.000301000000000.01-502;Fernando Ezequiel Solanas
000301000000000;Diputados Nacionales Ciudad Autónoma de Buenos Aires;01-503;JUNTOS POR EL CAMBIO;000301000000000.01-503.A.000301000000000.01-503;Maximiliano Carlos Francisco Ferraro
000301000000000;Diputados Nacionales Ciudad Autónoma de Buenos Aires;01-504;CONSENSO FEDERAL;000301000000000.01-504.A.000301000000000.01-504;Marco Juan Lavagna
000301000000000;Diputados Nacionales Ciudad Autónoma de Buenos Aires;87;UNITE POR LA LIBERTAD Y LA DIGNIDAD;000301000000000.87.A.000301000000000.87;Nazareno Gabriel Etchepare
