x;x
"1 ""12 DE OCTUBRE""";"1 ""¾ORQUIN"""
"2 ""2 DE ABRIL""";"2 ""12 DE OCTUBRE"""
"3 ""25 DE MAYO""";"3 ""2 DE ABRIL"""
"4 ""ADOLFO ALSINA""";"4 ""25 DE MAYO"""
"5 ""ADOLFO GONZALEZ CHAVES""";"5 ""9 DE JULIO"""
"6 ""AGUIRRE""";"6 ""A¾ELO"""
"7 ""ALBARDON""";"7 ""ADOLFO ALSINA"""
"8 ""ALBERDI""";"8 ""AGUIRRE"""
"9 ""ALBERTI""";"9 ""ALBARDON"""
"10 ""ALMIRANTE BROWN""";"10 ""ALBERDI"""
"11 ""ALUMINE""";"11 ""ALBERTI"""
"12 ""AMBATO""";"12 ""ALMIRANTE BROWN"""
"13 ""ANCASTI""";"13 ""ALUMINE"""
"14 ""ANDALGALA""";"14 ""AMBATO"""
"15 ""ANGACO""";"15 ""ANCASTI"""
"16 ""ANGEL VICENTE PEÑALOZA""";"16 ""ANDALGALA"""
"17 ""ANTA""";"17 ""ANGACO"""
"18 ""ANTARTIDA ARGENTINA""";"18 ""ANGEL VICENTE PE¾ALOZA"""
"19 ""ANTOFAGASTA DE LA SIERRA""";"19 ""ANTA"""
"20 ""AÑELO""";"20 ""ANTARTIDA ARGENTINA"""
"21 ""APOSTOLES""";"21 ""ANTOFAGASTA DE LA SIERRA"""
"22 ""ARAUCO""";"22 ""APOSTOLES"""
"23 ""ARRECIFES""";"23 ""ARAUCO"""
"24 ""ATAMISQUI""";"24 ""ARRECIFES"""
"25 ""ATREUCO""";"25 ""ATAMISQUI"""
"26 ""AVELLANEDA""";"26 ""ATREUCO"""
"27 ""AYACUCHO""";"27 ""AVELLANEDA"""
"28 ""AZUL""";"28 ""AYACUCHO"""
"29 ""BAHIA BLANCA""";"29 ""AZUL"""
"30 ""BALCARCE""";"30 ""BAHIA BLANCA"""
"31 ""BARADERO""";"31 ""BALCARCE"""
"32 ""BARILOCHE""";"32 ""BANDA"""
"33 ""BELEN""";"33 ""BARADERO"""
"34 ""BELGRANO""";"34 ""BARILOCHE"""
"35 ""BELLA VISTA""";"35 ""BELEN"""
"36 ""BERAZATEGUI""";"36 ""BELGRANO"""
"37 ""BERISSO""";"37 ""BELLA VISTA"""
"38 ""BERMEJO""";"38 ""BERAZATEGUI"""
"39 ""BERON DE ASTRADA""";"39 ""BERISSO"""
"40 ""BIEDMA""";"40 ""BERMEJO"""
"41 ""BOLIVAR""";"41 ""BERON DE ASTRADA"""
"42 ""BRAGADO""";"42 ""BIEDMA"""
"43 ""BRANDSEN""";"43 ""BOLIVAR"""
"44 ""BURRUYACU""";"44 ""BRAGADO"""
"45 ""CACHI""";"45 ""BRANDSEN"""
"46 ""CAFAYATE""";"46 ""BURRUYACU"""
"47 ""CAINGUAS""";"47 ""CA¾UELAS"""
"48 ""CALAMUCHITA""";"48 ""CACHI"""
"49 ""CALEU CALEU""";"49 ""CAFAYATE"""
"50 ""CALINGASTA""";"50 ""CAINGUAS"""
"51 ""CAMPANA""";"51 ""CALAMUCHITA"""
"52 ""CANDELARIA""";"52 ""CALEU CALEU"""
"53 ""CAÑUELAS""";"53 ""CALINGASTA"""
"54 ""CAPAYAN""";"54 ""CAMPANA"""
"55 ""CAPITAL""";"55 ""CANDELARIA"""
"56 ""CAPITAN SARMIENTO""";"56 ""CAPAYAN"""
"57 ""CARLOS CASARES""";"57 ""CAPITAL"""
"58 ""CARLOS TEJEDOR""";"58 ""CAPITAN SARMIENTO"""
"59 ""CARMEN DE ARECO""";"59 ""CARLOS CASARES"""
"60 ""CASEROS""";"60 ""CARLOS TEJEDOR"""
"61 ""CASTELLANOS""";"61 ""CARMEN DE ARECO"""
"62 ""CASTELLI""";"62 ""CASEROS"""
"63 ""CASTRO BARROS""";"63 ""CASTELLANOS"""
"64 ""CATAN LIL""";"64 ""CASTELLI"""
"65 ""CATRILO""";"65 ""CASTRO BARROS"""
"66 ""CAUCETE""";"66 ""CATAN LIL"""
"67 ""CERRILLOS""";"67 ""CATRILO"""
"68 ""CHACABUCO""";"68 ""CAUCETE"""
