"Marca temporal","Sergio Massa","Patricia Bullrich","Horacio Rodriguez Larreta","Javier Milei","Juan Grabois","¿Cuál es su intención de voto para las PASO?","Ante el eventual escenario que Horacio Rodríguez Larreta gane la interna contra Patricia Bullrich, ¿Cuál sería su intención de voto en las elecciones generales?","Ante el eventual escenario que Patricia Bullrich gane la interna contra Horacio Rodriguez Larreta, ¿Cuál sería su intención de voto en las elecciones generales?","Ante un eventual enfrentamiento entre Sergio Massa y Horacio Rodríguez Larreta, ¿A quién votaría?","Ante un eventual enfrentamiento entre Sergio Massa y Patricia Bullrich, ¿A quién votaría?","Ante un eventual enfrentamiento entre Sergio Massa y Javier Milei, ¿A quién votaría?","Ante un eventual enfrentamiento entre Horacio Rodríguez Larreta y Javier Milei, ¿A quién votaría?","Ante un eventual enfrentamiento entre Patricia Bullrich y Javier Milei, ¿A quién votaría?"
"2023/08/09 4:15:41 p. m. GMT-3","1","4","5","2","3","Javier Milei","Sergio Massa","Sergio Massa","Sergio Massa","Sergio Massa","Javier Milei","Javier Milei","Javier Milei"
"2023/08/09 4:15:57 p. m. GMT-3","5","5","5","5","1","Juan Grabois","Nulo","Nulo","Nulo","Nulo","Nulo","Nulo","Nulo"
"2023/08/09 4:16:25 p. m. GMT-3","5","5","5","5","5","No voy a votar","No voy a votar","No voy a votar","No iría a votar","No iría a votar","No iría a votar","No iría a votar","No iría a votar"
"2023/08/09 4:16:27 p. m. GMT-3","3","2","5","1","4","Javier Milei","Javier Milei","Patricia Bullrich","Nulo","Patricia Bullrich","Javier Milei","Javier Milei","Javier Milei"
"2023/08/09 4:16:33 p. m. GMT-3","3","2","1","5","4","Horacio Rodriguez Larreta","Horacio Rodriguez Larreta","Patricia Bullrich","Horacio Rodriguez Larreta","Patricia Bullrich","Sergio Massa","Horacio Rodriguez Larreta","Patricia Bullrich"
"2023/08/09 4:16:34 p. m. GMT-3","4","1","2","3","5","Patricia Bullrich","Horacio Rodriguez Larreta","Patricia Bullrich","Horacio Rodriguez Larreta","Patricia Bullrich","Javier Milei","Horacio Rodriguez Larreta","Patricia Bullrich"
"2023/08/09 4:16:35 p. m. GMT-3","1","4","3","5","2","Sergio Massa","Sergio Massa","Sergio Massa","Sergio Massa","Sergio Massa","Sergio Massa","Horacio Rodriguez Larreta","Patricia Bullrich"
"2023/08/09 4:16:40 p. m. GMT-3","1","4","3","5","2","Sergio Massa","Sergio Massa","Sergio Massa","Sergio Massa","Sergio Massa","Sergio Massa","Nulo","Nulo"
"2023/08/09 4:16:51 p. m. GMT-3","4","1","2","1","3","Sergio Massa","Sergio Massa","Sergio Massa","Sergio Massa","Sergio Massa","Sergio Massa","Horacio Rodriguez Larreta","Patricia Bullrich"
"2023/08/09 4:16:52 p. m. GMT-3","1","4","1","3","1","Patricia Bullrich","Javier Milei","Patricia Bullrich","No iría a votar","Patricia Bullrich","Javier Milei","Javier Milei","Patricia Bullrich"
"2023/08/09 4:16:56 p. m. GMT-3","5","1","3","2","4","Patricia Bullrich","Javier Milei","Patricia Bullrich","Horacio Rodriguez Larreta","Patricia Bullrich","Javier Milei","Horacio Rodriguez Larreta","Patricia Bullrich"
"2023/08/09 4:16:59 p. m. GMT-3","3","1","4","5","2","Patricia Bullrich","Sergio Massa","Patricia Bullrich","Horacio Rodriguez Larreta","Patricia Bullrich","Sergio Massa","Horacio Rodriguez Larreta","Patricia Bullrich"
"2023/08/09 4:17:00 p. m. GMT-3","2","3","1","5","4","Horacio Rodriguez Larreta","Horacio Rodriguez Larreta","Sergio Massa","Horacio Rodriguez Larreta","Sergio Massa","Sergio Massa","Horacio Rodriguez Larreta","Patricia Bullrich"
"2023/08/09 4:17:00 p. m. GMT-3","4","1","2","5","3","Patricia Bullrich","Horacio Rodriguez Larreta","Patricia Bullrich","Horacio Rodriguez Larreta","Patricia Bullrich","Blanco","Horacio Rodriguez Larreta","Patricia Bullrich"
"2023/08/09 4:17:01 p. m. GMT-3","5","2","3","1","4","Javier Milei","Javier Milei","Javier Milei","Nulo","Patricia Bullrich","Javier Milei","Javier Milei","Patricia Bullrich"
"2023/08/09 4:17:04 p. m. GMT-3","3","2","1","5","4","Blanco","Horacio Rodriguez Larreta","Blanco","Horacio Rodriguez Larreta","Blanco","Sergio Massa","Horacio Rodriguez Larreta","Patricia Bullrich"
"2023/08/09 4:17:09 p. m. GMT-3","4","2","3","1","5","Javier Milei","Javier Milei","Javier Milei","Horacio Rodriguez Larreta","Patricia Bullrich","Javier Milei","Javier Milei","Javier Milei"
"2023/08/09 4:17:10 p. m. GMT-3","5","1","3","2","4","Patricia Bullrich","Javier Milei","Patricia Bullrich","Horacio Rodriguez Larreta","Patricia Bullrich","Javier Milei","Javier Milei","Patricia Bullrich"
"2023/08/09 4:17:14 p. m. GMT-3","4","1","2","5","5","Patricia Bullrich","Horacio Rodriguez Larreta","Patricia Bullrich","Horacio Rodriguez Larreta","Patricia Bullrich","Sergio Massa","Horacio Rodriguez Larreta","Patricia Bullrich"
"2023/08/09 4:17:19 p. m. GMT-3","4","3","1","5","5","Horacio Rodriguez Larreta","Horacio Rodriguez Larreta","Patricia Bullrich","Horacio Rodriguez Larreta","Patricia Bullrich","Blanco","Horacio Rodriguez Larreta","Patricia Bullrich"
"2023/08/09 4:17:24 p. m. GMT-3","1","4","5","3","2","Horacio Rodriguez Larreta","Horacio Rodriguez Larreta","Patricia Bullrich","Horacio Rodriguez Larreta","Patricia Bullrich","Javier Milei","Horacio Rodriguez Larreta","Patricia Bullrich"
"2023/08/09 4:17:36 p. m. GMT-3","5","1","2","4","3","Patricia Bullrich","No voy a votar","Patricia Bullrich","Horacio Rodriguez Larreta","Patricia Bullrich","No iría a votar","Horacio Rodriguez Larreta","Patricia Bullrich"
"2023/08/09 4:17:36 p. m. GMT-3","2","5","4","4","1","Juan Grabois","Sergio Massa","Sergio Massa","Sergio Massa","Sergio Massa","Sergio Massa","Horacio Rodriguez Larreta","Nulo"
