provincia,year,iibb,inmuebles,sellos,automotor,otros
Buenos Aires,1984,675,626,169,255,0
Catamarca,1984,3,0,1,0,0
Córdoba,1984,148,80,27,38,10
Corrientes,1984,19,4,5,0,0
Chaco,1984,27,3,5,2,5
Chubut,1984,14,3,5,4,2
Entre Ríos,1984,39,30,13,5,4
Formosa,1984,9,1,3,1,1
Jujuy,1984,16,2,5,0,0
La Pampa,1984,12,6,5,2,1
La Rioja,1984,3,0,2,0,0
Mendoza,1984,49,12,19,14,5
Misiones,1984,23,3,5,1,1
Neuquén,1984,15,3,7,0,0
Río Negro,1984,20,4,7,3,1
Salta,1984,29,10,10,3,5
San Juan,1984,9,3,4,3,2
San Luis,1984,6,2,2,1,0
Santa Cruz,1984,15,0,3,0,0
Santa Fe,1984,180,92,40,37,6
Sgo. Del Estero,1984,13,4,3,2,2
Tucumán,1984,45,10,15,5,7
Tierra Del Fuego,1984,3,1,1,1,0
C.A.B.A.,1984,731,174,0,63,16
Buenos Aires,1985,682,480,170,235,0
Catamarca,1985,4,0,1,0,0
Córdoba,1985,167,67,42,40,4
Corrientes,1985,17,4,4,0,4
Chaco,1985,28,2,1,2,5
Chubut,1985,28,1,7,0,1
Entre Ríos,1985,38,25,14,7,3
Formosa,1985,7,2,2,1,1
Jujuy,1985,15,2,5,0,0
La Pampa,1985,15,8,8,3,1
La Rioja,1985,6,1,2,1,0
Mendoza,1985,51,16,25,17,18
Misiones,1985,22,2,6,1,1
Neuquén,1985,19,3,9,0,0
Río Negro,1985,23,6,9,7,0
Salta,1985,37,10,10,5,5
San Juan,1985,15,4,6,2,1
San Luis,1985,9,9,2,2,0
Santa Cruz,1985,18,0,5,0,0
Santa Fe,1985,188,99,42,41,29
Sgo. Del Estero,1985,14,4,3,2,2
Tucumán,1985,42,10,20,10,11
Tierra Del Fuego,1985,9,0,1,0,0
C.A.B.A.,1985,693,297,0,133,3
Buenos Aires,1986,894,459,236,212,24
Catamarca,1986,5,1,2,0,1
Córdoba,1986,216,82,59,21,3
Corrientes,1986,24,7,6,3,3
Chaco,1986,32,1,6,0,6
Chubut,1986,33,3,13,3,1
Entre Ríos,1986,57,42,18,11,5
Formosa,1986,10,2,3,1,1
Jujuy,1986,17,3,6,0,0
La Pampa,1986,18,10,9,3,1
La Rioja,1986,9,1,4,1,0
Mendoza,1986,71,21,41,18,21
Misiones,1986,28,5,11,1,2
Neuquén,1986,22,4,13,0,0
Río Negro,1986,35,7,12,8,0
Salta,1986,41,9,24,4,5
San Juan,1986,15,4,8,2,5
San Luis,1986,12,10,4,2,0
Santa Cruz,1986,18,0,7,2,0
Santa Fe,1986,227,96,87,52,6
Sgo. Del Estero,1986,18,5,5,2,3
Tucumán,1986,53,13,28,13,13
Tierra Del Fuego,1986,11,0,2,0,0
C.A.B.A.,1986,880,353,0,95,3
Buenos Aires,1987,831,360,217,171,22
Catamarca,1987,5,1,2,0,0
Córdoba,1987,218,69,53,1,0
Corrientes,1987,24,8,5,0,11
Chaco,1987,28,3,5,2,8
Chubut,1987,29,1,11,4,7
Entre Ríos,1987,55,29,14,10,4
Formosa,1987,10,1,2,1,1
Jujuy,1987,19,3,6,0,2
La Pampa,1987,25,10,11,6,1
La Rioja,1987,8,1,3,1,0
Mendoza,1987,66,20,36,16,19
Misiones,1987,29,5,9,2,1
Neuquén,1987,26,4,13,0,0
Río Negro,1987,32,10,15,8,0
Salta,1987,36,8,14,2,5
San Juan,1987,15,3,9,2,8
San Luis,1987,23,5,3,1,0
Santa Cruz,1987,15,0,5,2,0
Santa Fe,1987,197,86,87,44,3
Sgo. Del Estero,1987,15,5,4,2,4
Tucumán,1987,62,15,22,10,14
Tierra Del Fuego,1987,21,0,3,0,13
C.A.B.A.,1987,809,228,0,99,1
Buenos Aires,1988,656,405,156,171,26
Catamarca,1988,5,1,1,0,0
Córdoba,1988,217,84,40,1,0
Corrientes,1988,20,5,3,0,4
Chaco,1988,24,2,4,1,5
Chubut,1988,28,2,4,0,7
Entre Ríos,1988,40,33,11,14,3
